1,0715878831,4,65,2
2,0726722128,2,79,2
3,0775322392,2,34,1
4,0726722128,3,38,0
5,0759762662,2,42,2
6,0787882736,4,19,1
7,0764158857,0,24,1
8,0775322392,4,62,2
9,0775322392,5,37,1
10,0790510411,0,69,0
11,0790510411,1,30,0
12,0787882736,1,91,0
13,0759762662,3,34,0
14,0779324315,1,40,2
15,0790510411,3,43,2
16,0775322392,5,26,2
17,0779324315,0,8,2
18,0790510411,0,95,2
19,0781972350,1,33,1
20,0778686385,3,33,0
21,0787882736,0,1,2
22,0722649783,5,11,0
23,0759762662,3,61,2
24,0716611022,5,46,0
25,0726722128,1,98,0
26,0778686385,2,10,1
27,0775322392,5,47,2
28,0787882736,5,73,1
29,0779324315,0,88,1
30,0722010937,5,25,1
31,0778686385,1,29,1
32,0716611022,2,15,1
33,0716611022,4,60,2
34,0715878831,4,25,0
35,0777070981,4,44,2
36,0786119202,2,7,1
37,0757833524,3,76,0
38,0787882736,1,20,1
39,0729372378,4,87,1
40,0729372378,5,51,2
41,0775322392,5,44,2
42,0728776665,4,5,0
43,0781972350,5,21,1
44,0726722128,3,22,0
45,0781972350,1,50,0
46,0768437024,3,47,1
47,0785719617,3,27,1
48,0726722128,2,20,1
49,0785719617,2,13,1
50,0722010937,1,94,1
51,0759762662,2,30,2
52,0701389603,0,95,2
53,0730278572,1,94,1
54,0722010937,0,41,2
55,0726722128,4,38,0
56,0759762662,4,75,0
57,0775322392,5,65,2
58,0778686385,3,26,2
59,0764158857,4,76,0
60,0781139085,4,89,0
61,0779324315,5,56,1
62,0781972350,3,98,1
63,0777417032,4,55,0
64,0768437024,3,39,1
65,0759762662,2,38,1
66,0777642395,5,74,2
67,0778686385,4,86,0
68,0781139085,3,92,0
69,0722021334,1,85,1
70,0722010937,3,33,0
71,0722649783,2,81,2
72,0785719617,5,9,1
73,0778686385,5,34,2
74,0787882736,1,67,0
75,0777417032,1,34,1
76,0730278572,5,69,1
77,0787882736,0,45,0
78,0767505759,5,10,0
79,0702174848,5,57,2
80,0768437024,5,51,1
81,0730278572,5,64,0
82,0778686385,5,50,2
83,0721687776,4,28,1
84,0703177542,5,89,1
85,0705198842,1,7,2
86,0762359536,0,32,0
87,0703177542,5,66,2
88,0726722128,1,89,2
89,0789606289,5,78,1
90,0787882736,1,15,1
91,0789606289,1,29,0
92,0722649783,4,92,0
93,0722021334,2,17,2
94,0777070981,4,31,2
95,0789606289,0,67,2
96,0722649783,4,12,0
97,0737824051,4,81,1
98,0719366988,5,51,2
99,0740014476,2,82,2
100,0776274872,0,4,2
101,0739563640,0,16,2
102,0722021334,0,23,2
103,0767505759,0,4,1
104,0767505759,2,62,1
105,0714155299,3,35,1
106,0758704363,1,81,2
